Day,Month,Year,Open,High,Low,Close,Adj Close,Volume
3,Jun,2008,"15,851.72","15,985.40","15,709.51","15,962.56","15,962.56","20,200"
2,Jun,2008,"16,591.46","16,632.72","15,991.21","16,063.18","16,063.18","17,600"
30,May,2008,"16,454.03","16,540.49","16,314.99","16,415.57","16,415.57","18,400"
29,May,2008,"16,666.03","16,666.03","16,196.02","16,316.26","16,316.26","20,000"
28,May,2008,"16,358.62","16,563.30","16,217.78","16,525.37","16,525.37","21,600"
27,May,2008,"16,454.75","16,506.35","16,237.92","16,275.59","16,275.59","16,200"
26,May,2008,"16,468.32","16,498.24","16,300.88","16,348.50","16,348.50","15,800"
23,May,2008,"16,958.80","17,054.34","16,626.11","16,649.64","16,649.64","17,600"
22,May,2008,"17,104.59","17,104.59","16,863.38","16,907.11","16,907.11","16,800"
21,May,2008,"17,065.61","17,293.34","17,041.63","17,243.16","17,243.16","19,600"
20,May,2008,"17,366.05","17,367.13","17,136.26","17,230.18","17,230.18","16,600"
16,May,2008,"17,476.41","17,497.36","17,315.52","17,434.94","17,434.94","17,000"
15,May,2008,"17,084.89","17,366.19","17,079.94","17,353.54","17,353.54","25,000"
14,May,2008,"16,691.30","17,014.94","16,626.35","16,978.35","16,978.35","19,000"
13,May,2008,"17,008.03","17,085.63","16,697.47","16,752.86","16,752.86","17,000"
12,May,2008,"16,641.45","16,897.36","16,546.55","16,860.90","16,860.90","18,000"
9,May,2008,"17,020.79","17,125.95","16,678.94","16,737.07","16,737.07","18,600"
8,May,2008,"17,212.61","17,212.61","17,038.03","17,080.65","17,080.65","18,200"
7,May,2008,"17,404.15","17,413.81","17,229.98","17,339.31","17,339.31","21,200"
6,May,2008,"17,441.41","17,502.15","17,237.68","17,373.01","17,373.01","23,200"
5,May,2008,"17,687.00","17,735.70","17,457.27","17,490.90","17,490.90","20,200"
2,May,2008,"17,560.15","17,621.24","17,445.93","17,600.12","17,600.12","24,600"
30,Apr,2008,"17,479.01","17,480.74","17,241.88","17,287.31","17,287.31","26,200"
29,Apr,2008,"17,050.87","17,424.94","17,011.60","17,378.46","17,378.46","27,600"
28,Apr,2008,"17,251.56","17,271.56","16,978.89","17,015.96","17,015.96","19,200"
25,Apr,2008,"16,781.97","17,150.92","16,781.97","17,125.98","17,125.98","21,600"
24,Apr,2008,"16,796.26","16,844.02","16,668.60","16,721.08","16,721.08","19,000"
23,Apr,2008,"16,823.99","16,871.27","16,589.45","16,698.04","16,698.04","17,000"
22,Apr,2008,"16,686.55","16,853.96","16,597.53","16,783.87","16,783.87","21,400"
21,Apr,2008,"16,611.41","16,778.59","16,611.41","16,739.33","16,739.33","20,200"
17,Apr,2008,"16,456.04","16,570.57","16,397.17","16,481.20","16,481.20","17,800"
16,Apr,2008,"16,288.76","16,413.80","16,198.56","16,244.19","16,244.19","22,000"
15,Apr,2008,"15,694.41","16,249.46","15,573.03","16,153.66","16,153.66","22,400"
11,Apr,2008,"15,840.56","15,957.24","15,673.67","15,807.64","15,807.64","19,600"
10,Apr,2008,"15,754.87","15,953.54","15,655.20","15,695.10","15,695.10","22,000"
9,Apr,2008,"15,512.70","15,829.59","15,464.72","15,790.51","15,790.51","16,400"
8,Apr,2008,"15,770.16","15,770.40","15,479.42","15,587.62","15,587.62","18,400"
7,Apr,2008,"15,390.15","15,851.88","15,321.56","15,757.08","15,757.08","19,800"
4,Apr,2008,"15,896.09","15,896.09","15,303.04","15,343.12","15,343.12","19,000"
3,Apr,2008,"15,805.63","16,002.73","15,699.21","15,832.55","15,832.55","15,600"
2,Apr,2008,"16,023.30","16,236.70","15,719.47","15,750.40","15,750.40","16,800"
1,Apr,2008,"15,771.72","15,834.05","15,297.96","15,626.62","15,626.62","15,300"
31,Mar,2008,"16,226.66","16,226.66","15,563.15","15,644.44","15,644.44","23,200"
28,Mar,2008,"16,100.26","16,452.08","15,884.45","16,371.29","16,371.29","23,800"
27,Mar,2008,"15,950.29","16,111.44","15,869.09","16,015.56","16,015.56","24,200"
26,Mar,2008,"16,270.12","16,309.88","16,009.87","16,086.83","16,086.83","24,600"
25,Mar,2008,"15,612.61","16,262.38","15,612.61","16,217.49","16,217.49","29,400"
24,Mar,2008,"15,093.77","15,351.31","15,056.09","15,289.40","15,289.40","20,200"
19,Mar,2008,"15,325.79","15,465.81","14,930.08","14,994.83","14,994.83","28,200"
18,Mar,2008,"14,725.68","15,164.73","14,677.24","14,833.46","14,833.46","47,600"
17,Mar,2008,"15,326.93","15,326.93","14,739.72","14,809.49","14,809.49","22,600"
14,Mar,2008,"15,467.39","15,798.42","15,331.35","15,760.52","15,760.52","23,800"
13,Mar,2008,"15,873.28","15,873.28","15,228.99","15,357.35","15,357.35","21,200"
12,Mar,2008,"16,541.14","16,683.37","16,064.09","16,127.98","16,127.98","23,000"
11,Mar,2008,"15,778.27","16,168.13","15,739.04","16,123.15","16,123.15","22,400"
10,Mar,2008,"15,684.24","15,998.33","15,362.17","15,923.72","15,923.72","21,800"
7,Mar,2008,"16,211.96","16,211.96","15,689.92","15,975.52","15,975.52","24,400"
5,Mar,2008,"16,328.91","16,595.64","16,253.02","16,542.08","16,542.08","21,600"
4,Mar,2008,"16,742.20","16,754.06","16,164.57","16,339.89","16,339.89","20,600"
3,Mar,2008,"17,227.56","17,227.56","16,634.63","16,677.88","16,677.88","21,800"
29,Feb,2008,"17,779.54","17,779.54","17,258.20","17,578.72","17,578.72","23,000"
28,Feb,2008,"17,810.52","17,921.51","17,690.16","17,824.48","17,824.48","18,200"
27,Feb,2008,"17,983.42","18,137.28","17,770.65","17,825.99","17,825.99","13,000"
26,Feb,2008,"17,799.56","17,860.10","17,678.74","17,806.19","17,806.19","11,000"
25,Feb,2008,"17,523.81","17,674.06","17,137.99","17,650.57","17,650.57","13,200"
22,Feb,2008,"17,503.04","17,526.80","17,347.26","17,349.07","17,349.07","9,800"
21,Feb,2008,"17,825.22","17,887.21","17,482.31","17,734.68","17,734.68","15,800"
20,Feb,2008,"17,991.29","17,991.29","17,505.56","17,617.60","17,617.60","12,800"
19,Feb,2008,"18,215.26","18,314.10","18,018.48","18,075.66","18,075.66","12,800"
18,Feb,2008,"18,228.21","18,256.82","17,900.96","18,048.05","18,048.05","11,800"
15,Feb,2008,"17,541.17","18,142.92","17,445.05","18,115.25","18,115.25","17,400"
14,Feb,2008,"17,265.19","17,836.64","17,265.19","17,766.63","17,766.63","14,400"
13,Feb,2008,"16,816.94","17,141.06","16,725.68","16,949.14","16,949.14","14,200"
12,Feb,2008,"16,812.63","16,966.72","16,565.48","16,608.01","16,608.01","14,400"
11,Feb,2008,"17,427.34","17,427.34","16,457.74","16,630.91","16,630.91","20,000"
8,Feb,2008,"17,610.07","17,688.73","17,203.06","17,464.89","17,464.89","19,200"
7,Feb,2008,"18,198.68","18,198.68","17,492.28","17,526.93","17,526.93","17,400"
6,Feb,2008,"18,247.03","18,274.15","17,936.01","18,139.49","18,139.49","16,400"
5,Feb,2008,"18,592.58","18,729.83","18,509.54","18,663.16","18,663.16","19,000"
4,Feb,2008,"18,496.03","18,895.34","18,447.25","18,660.32","18,660.32","17,400"
1,Feb,2008,"17,820.67","18,312.40","17,534.96","18,242.58","18,242.58","14,800"
31,Jan,2008,"17,810.13","18,008.71","17,417.63","17,648.71","17,648.71","16,800"
30,Jan,2008,"18,120.22","18,129.18","17,683.51","17,758.64","17,758.64","13,400"
29,Jan,2008,"18,346.49","18,491.06","17,927.92","18,091.94","18,091.94","14,800"
28,Jan,2008,"18,011.89","18,213.21","17,443.29","18,152.78","18,152.78","12,400"
25,Jan,2008,"17,504.00","18,406.25","17,504.00","18,361.66","18,361.66","15,200"
24,Jan,2008,"17,920.98","18,185.10","17,070.05","17,221.74","17,221.74","22,800"
23,Jan,2008,"17,520.02","17,997.11","16,951.03","17,594.07","17,594.07","22,000"
22,Jan,2008,"16,884.09","17,068.57","15,332.42","16,729.94","16,729.94","30,600"
21,Jan,2008,"18,919.57","18,919.57","16,951.50","17,605.35","17,605.35","35,800"
18,Jan,2008,"19,579.61","19,715.78","18,930.42","19,013.70","19,013.70","28,000"
17,Jan,2008,"19,972.75","20,026.12","19,643.76","19,700.82","19,700.82","20,200"
16,Jan,2008,"20,079.89","20,079.89","19,513.25","19,868.11","19,868.11","24,600"
15,Jan,2008,"20,836.47","20,872.93","20,203.63","20,251.09","20,251.09","19,400"
14,Jan,2008,"20,918.23","20,959.22","20,661.90","20,728.05","20,728.05","16,800"
11,Jan,2008,"20,702.94","20,894.79","20,505.81","20,827.45","20,827.45","18,200"
10,Jan,2008,"20,930.28","21,206.77","20,530.07","20,582.08","20,582.08","21,200"
9,Jan,2008,"20,903.00","21,113.13","20,701.49","20,869.78","20,869.78","22,200"
8,Jan,2008,"20,970.07","21,077.53","20,696.60","20,873.33","20,873.33","22,800"
7,Jan,2008,"20,637.21","20,861.83","20,438.19","20,812.65","20,812.65","17,600"
4,Jan,2008,"20,367.94","20,762.80","20,367.94","20,686.89","20,686.89","18,600"
3,Jan,2008,"20,383.03","20,519.70","20,293.87","20,345.20","20,345.20","20,600"
2,Jan,2008,"20,393.10","20,529.48","20,077.40","20,465.30","20,465.30","20,600"
1,Jan,2008,,,,,,
31,Dec,2007,"20,323.28","20,484.28","20,239.63","20,286.99","20,286.99","10,400"
28,Dec,2007,"20,158.12","20,259.45","20,022.88","20,206.95","20,206.95","10,600"
27,Dec,2007,"20,301.05","20,323.76","20,159.73","20,216.72","20,216.72","13,200"
26,Dec,2007,"19,940.96","20,211.47","19,896.61","20,192.52","20,192.52","12,000"
24,Dec,2007,"19,308.20","19,879.00","19,308.20","19,854.12","19,854.12","12,200"
20,Dec,2007,"19,210.22","19,291.14","19,097.70","19,162.57","19,162.57","11,400"
19,Dec,2007,"19,255.39","19,397.76","18,886.40","19,091.96","19,091.96","12,600"
18,Dec,2007,"19,339.14","19,375.07","19,009.35","19,079.64","19,079.64","15,200"
17,Dec,2007,"20,032.67","20,032.67","19,177.19","19,261.35","19,261.35","15,400"
14,Dec,2007,"20,108.09","20,171.57","19,936.49","20,030.83","20,030.83","14,800"
13,Dec,2007,"20,498.11","20,498.11","20,065.63","20,104.39","20,104.39","17,000"
12,Dec,2007,"20,197.44","20,419.11","20,045.42","20,375.87","20,375.87","14,800"
11,Dec,2007,"20,049.35","20,333.06","20,019.34","20,290.89","20,290.89","11,600"
